person_name,movie_title,release_year,role,genre
Tom Cruise,Top Gun: Maverick,2022,Pete Mitchell,Action
Jennifer Connelly,Top Gun: Maverick,2022,Penny Benjamin,Action
Miles Teller,Top Gun: Maverick,2022,Bradley Bradshaw,Action
Keanu Reeves,The Matrix,1999,Neo,Sci-Fi
Laurence Fishburne,The Matrix,1999,Morpheus,Sci-Fi
Carrie-Anne Moss,The Matrix,1999,Trinity,Sci-Fi
Margot Robbie,Barbie,2023,Barbie,Comedy
Ryan Gosling,Barbie,2023,Ken,Comedy
Cillian Murphy,Oppenheimer,2023,J. Robert Oppenheimer,Biography
Emily Blunt,Oppenheimer,2023,Kitty Oppenheimer,Biography
Robert Downey Jr.,Oppenheimer,2023,Lewis Strauss,Biography
Matt Damon,The Diamond Protocol,2018,Sarah Connor,Thriller
Lupita Nyong'o,Miami Dreams,2021,Victoria Fox,Romance
Viggo Mortensen,Beyond Boston,2019,Samuel Brooks,Sci-Fi
Zoe Saldana,The Tokyo Conspiracy,1999,Maria Garcia,Mystery
Maggie Smith,Midnight in Diamond,1994,Michael Chen,Mystery
Emma Stone,The Cairo Conspiracy,2010,Sarah Connor,Mystery
Cillian Murphy,Dark Legacy,2021,Rachel Green,Drama
Elizabeth Olsen,Midnight in Mumbai,2018,Rachel Green,Thriller
Gal Gadot,Paris Legacy,2008,Diana Ross,Drama
Sean Astin,Boston Wars,2014,Catherine Bell,War
Charlize Theron,The Dark Conspiracy,1992,John Williams,Drama
Anne Hathaway,The Seattle Protocol,2003,Rebecca Lane,Action
Ernie Hudson,Edge of Diamond,2013,Peter Grant,Sci-Fi
Charlize Theron,The Last Phoenix,2000,Marcus Black,Drama
Jake Gyllenhaal,Storm Forever,1997,Kate Wilson,Comedy
Sandra Bullock,Beyond Light,2008,Isabella Cruz,Adventure
Jamie Lee Curtis,Edge of Golden,2017,Sophia Wells,Sci-Fi
Harold Ramis,Cairo Forever,2008,Diana Ross,Comedy
Jason Momoa,The Water Chronicles,2005,Samuel Brooks,Fantasy
Elizabeth Olsen,The Atlas Chronicles,2024,Rebecca Lane,Action
Mark Hamill,City of Phoenix,2022,Kevin Adams,Drama
Julia Roberts,City of Thunder,2024,Laura White,Drama
Kate Winslet,The Cairo Chronicles,2005,James Anderson,Action
Julia Roberts,Return to Phoenix,1993,John Williams,Drama
Emily Blunt,Return to Paris,2002,Sophie Davis,Mystery
Michelle Yeoh,Thunder Legacy,2018,Sophie Davis,Adventure
Ezra Miller,The Crystal Protocol,2022,Rachel Green,Sci-Fi
Daniel Radcliffe,Sydney Rising,2009,Jack Mitchell,Action
Sandra Bullock,The Secret Water,2017,Jack Mitchell,Mystery
James Hong,The Last Diamond,2002,Andrew Long,Drama
Hugo Weaving,The Last Miami,2004,Thomas Reed,Drama
Ian McKellen,The Last Dark,1998,Amanda Hill,Drama
Benedict Cumberbatch,The Shadow Affair,1990,Nina Patel,Drama
Leonardo DiCaprio,The Manhattan Conspiracy,1995,Steven King,Thriller
Tom Holland,Return to Golden,2011,Marcus Black,Thriller
Gal Gadot,The Wind Protocol,2010,Sarah Connor,Sci-Fi
Viggo Mortensen,Midnight in Steel,2020,Emma Clarke,Mystery
Zoe Saldana,Seattle Legacy,2022,Steven King,Drama
Amy Adams,The Diamond Conspiracy,2012,Steven King,Mystery
